id,image_filename,image_source_url,image_original_url,image_author,image_date,image_institution,image_license,image_license_url,image_credit,image_rights_verified,notes
08-10-europe-1628-vasa,08-10-europe-1628-vasa.jpg,"https://commons.wikimedia.org/wiki/File:Vasa,_Swedish_warship_1628_(43476340540).jpg","https://commons.wikimedia.org/wiki/Special:Redirect/file/Vasa,%20Swedish%20warship%201628%20(43476340540).jpg",Sonse,,"Vasa Museum, Stockholm",CC BY 2.0,,"Le Vasa au musée de Stockholm, photographie via Wikimedia Commons.",true,
08-10-world-1990-magellan-venus,08-10-world-1990-magellan-venus.png,https://commons.wikimedia.org/wiki/File:Magellan_-_artist_depiction.png,https://commons.wikimedia.org/wiki/Special:Redirect/file/Magellan%20-%20artist%20depiction.png,NASA/JPL,,NASA/JPL,Domaine public (NASA),,"Vue d'artiste de la sonde Magellan près de Vénus, NASA/JPL — domaine public.",true,
08-11-france-1297-canonisation-louis-ix,08-11-france-1297-canonisation-louis-ix.jpg,https://commons.wikimedia.org/wiki/File:Saintlouis.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Saintlouis.jpg,"Auteur non indiqué (Bible moralisée de Tolède, XIIIe siècle)",,The Morgan Library & Museum,Domaine public (Public Domain Mark 1.0),,"Louis IX (saint Louis), détail de la Bible moralisée de Tolède, XIIIe siècle — The Morgan Library — domaine public.",true,
08-11-europe-1919-weimar-constitution,08-11-europe-1919-weimar-constitution.jpg,https://commons.wikimedia.org/wiki/File:Weimar_Constitution.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Weimar%20Constitution.jpg,Mise en ligne par JonRoma (Wikipédia anglophone),,,Domaine public,,"Page ou document relatif à la Constitution de Weimar, Wikimedia Commons.",true,
08-11-world-1960-chad-independence,08-11-world-1960-chad-independence.jpg,https://commons.wikimedia.org/wiki/File:Fran%C3%A7ois_Tombalbaye_1959.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Fran%C3%A7ois%20Tombalbaye%201959.jpg,Moshe Pridan,,Government Press Office (Israël),Domaine public en Israël (photo de 1959),,"François Tombalbaye, premier président du Tchad, Wikimedia Commons.",true,
08-12-france-1944-liberation-alencon,08-12-france-1944-liberation-alencon.jpg,https://commons.wikimedia.org/wiki/File:Liberation_de_paris_-_26_aout_1944_-_portrait_du_general_jacques-philippe_leclerc_de_hautecl_427563.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Liberation_de_paris_-_26_aout_1944_-_portrait_du_general_jacques-philippe_leclerc_de_hautecl_427563.jpg/960px-Liberation_de_paris_-_26_aout_1944_-_portrait_du_general_jacques-philippe_leclerc_de_hautecl_427563.jpg,,,"Musée Carnavalet, Paris",CC0,,"Portrait du général Leclerc de Hauteclocque, jour de la Libération de Paris (26 août 1944), Musée Carnavalet — CC0. Aucune photographie de la libération d'Alençon elle-même n'a été trouvée avec licence vérifiée.",true,
08-12-europe-1687-mohacs,08-12-europe-1687-mohacs.jpg,https://commons.wikimedia.org/wiki/File:Battle_of_Moh%C3%A1cs_1687.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Battle%20of%20Moh%C3%A1cs%201687.jpg,Wilhelm Camphausen (1818-1885),,,Domaine public,,"Représentation de la bataille de Mohács de 1687, Wikimedia Commons.",true,
08-12-world-1960-echo-1,08-12-world-1960-echo-1.jpg,https://commons.wikimedia.org/wiki/File:Echo_1_Satellite.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Echo%201%20Satellite.jpg,BananaJoe33,,Steven F. Udvar-Hazy Center (exemplaire exposé),CC BY-SA 4.0,,"Exemplaire du satellite Echo 1 exposé au Steven F. Udvar-Hazy Center, photographie (BananaJoe33), Wikimedia Commons.",true,
08-13-france-1532-union-bretagne,08-13-france-1532-union-bretagne.jpg,"https://commons.wikimedia.org/wiki/File:Portrait_de_Fran%C3%A7ois_Ier,_roi_de_France_(1494-1547)._Vers_1530._Jean_Clouet.jpg","https://commons.wikimedia.org/wiki/Special:Redirect/file/Portrait%20de%20Fran%C3%A7ois%20Ier,%20roi%20de%20France%20(1494-1547).%20Vers%201530.%20Jean%20Clouet.jpg",Jean Clouet,,Musée du Louvre (INV 3256),CC BY 2.0,,"Portrait de François Ier, roi de France, par Jean Clouet (vers 1527-1530), musée du Louvre. Aucune image de l'édit d'union lui-même n'a été trouvée avec licence vérifiée.",true,
08-13-europe-1961-mur-berlin,08-13-europe-1961-mur-berlin.jpg,"https://commons.wikimedia.org/wiki/File:Bundesarchiv_Bild_173-1321,_Berlin,_Mauerbau.jpg","https://commons.wikimedia.org/wiki/Special:Redirect/file/Bundesarchiv%20Bild%20173-1321,%20Berlin,%20Mauerbau.jpg",Helmut J. Wolf,,Bundesarchiv,CC BY-SA 3.0 DE,,"Construction du mur de Berlin, Bundesarchiv, Wikimedia Commons.",true,
08-13-world-1960-centrafrique,08-13-world-1960-centrafrique.jpg,https://commons.wikimedia.org/wiki/File:David_Dacko_1962.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/David%20Dacko%201962.jpg,"Recadrage par Aréat, d'après un timbre (President-D-Dacko stamp.jpg)",,,"Domaine public (droit d'auteur centrafricain, Ordonnance n°85.002)",,"David Dacko, premier président de la République centrafricaine, Wikimedia Commons.",true,
08-14-france-1756-fort-oswego,08-14-france-1756-fort-oswego.jpg,https://commons.wikimedia.org/wiki/File:Plan_des_forts_pris_par_Montcalm_en_ao%C3%BBt_1756._Bataille_d%27Oswego.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Plan%20des%20forts%20pris%20par%20Montcalm%20en%20ao%C3%BBt%201756.%20Bataille%20d%27Oswego.jpg,"Therbu, L. et Cöntgen Georg Joseph (graveurs)",,Library of Congress,Domaine public,,"Plan gravé des forts britanniques pris par Montcalm à Oswego, août 1756 — Library of Congress — domaine public.",true,
08-14-europe-1385-aljubarrota,08-14-europe-1385-aljubarrota.jpg,https://commons.wikimedia.org/wiki/File:Batalha_de_Aljubarrota.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Batalha%20de%20Aljubarrota.jpg,Mis en ligne par L Gonçalves (Wikipédia lusophone),,,Domaine public (Public Domain Mark 1.0),,"Représentation de la bataille d’Aljubarrota, Wikimedia Commons.",true,
08-14-world-1947-pakistan,08-14-world-1947-pakistan.jpg,https://commons.wikimedia.org/wiki/File:Jinnah1945c.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Jinnah1945c.jpg,Auteur inconnu,,,Domaine public (Pakistan et États-Unis),,"Muhammad Ali Jinnah, fondateur du Pakistan, Wikimedia Commons.",true,
